Accession #	IMAGE ID	Stop codon	Gene ID	Symbol	Description
BC152951	100016137	without	246729	Oas1h	2'-5' oligoadenylate synthetase 1H
BC148470	100015440	without	15562	Htr4	5 hydroxytryptamine (serotonin) receptor 4
BC153066	100016411	with	15562	Htr4	5 hydroxytryptamine (serotonin) receptor 4
BC156133	100062413	without	24127	Xrn1	5'-3' exoribonuclease 1
BC156976	100062868	with	24127	Xrn1	5'-3' exoribonuclease 1
BC172705	100069513	with	103466	Nt5dc3	5'-nucleotidase domain containing 3
BC168390	100068359	with	11487	Adam10	a disintegrin and metallopeptidase domain 10
BC166020	100066320	with	11489	Adam12	a disintegrin and metallopeptidase domain 12 (meltrin alpha)
BC148371	100015271	without	11492	Adam19	a disintegrin and metallopeptidase domain 19 (meltrin beta)
BC148746	100015784	with	11495	Adam2	a disintegrin and metallopeptidase domain 2
BC146303	100015172	without	11495	Adam2	a disintegrin and metallopeptidase domain 2
BC160376	100064120	with	11496	Adam22	a disintegrin and metallopeptidase domain 22
BC165952	100066252	with	13525	Adam26a	a disintegrin and metallopeptidase domain 26A (testase 3)
BC165951	100066251	with	382007	Adam26b	a disintegrin and metallopeptidase domain 26B
BC167190	100068090	with	11497	Adam3	a disintegrin and metallopeptidase domain 3 (cyritestin)
BC166003	100066303	with	546055	Adam39	a disintegrin and metallopeptidase domain 39
BC141547	100014584	without	11500	Adam7	a disintegrin and metallopeptidase domain 7
BC156895	100062720	with	224697	Adamts10	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 10"
BC148362	100015353	without	279028	Adamts13	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 13"
BC156647	100062198	with	279028	Adamts13	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 13"
BC167216	100068116	with	237360	Adamts14	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 14"
BC166030	100066330	with	330119	Adamts3	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 3"
BC167206	100068106	with	108154	Adamts6	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 6"
BC156802	100062510	with	30806	Adamts8	"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 8"
BC152925	100016169	without	11640	Akap1	A kinase (PRKA) anchor protein 1
BC160279	100063927	with	432442	Akap7	A kinase (PRKA) anchor protein 7
BC167185	100068085	with	320712	Abi3bp	"ABI gene family, member 3 (NESH) binding protein"
BC156144	100062462	without	107476	Acaca	acetyl-Coenzyme A carboxylase alpha
BC156982	100062870	with	107476	Acaca	acetyl-Coenzyme A carboxylase alpha
BC148622	100015640	without	106877	Afap1l1	actin filament associated protein 1-like 1
BC153188	100016590	with	106877	Afap1l1	actin filament associated protein 1-like 1
BC156704	100062123	with	231148	Ablim2	actin-binding LIM protein 2
BC140289	100014278	without	11628	Aicda	activation-induced cytidine deaminase
BC146499	100015021	with	11628	Aicda	activation-induced cytidine deaminase
BC160360	100064104	with	269275	Acvr1c	"activin A receptor, type IC"
BC167195	100068095	with	11538	Adnp	activity-dependent neuroprotective protein
BC156691	100062145	with	257633	Acsf3	acyl-CoA synthetase family member 3
BC152829	100016095	without	108011	Ap4e1	"adaptor-related protein complex AP-4, epsilon 1"
BC172612	100069420	without	228790	Asxl1	additional sex combs like 1
BC172725	100069533	with	228790	Asxl1	additional sex combs like 1
BC166033	100066333	with	75302	Asxl2	additional sex combs like 2 (Drosophila)
BC165984	100066284	with	21744	Adad1	adenosine deaminase domain containing 1 (testis specific)
BC165982	100066282	with	110532	Adarb1	"adenosine deaminase, RNA-specific, B1"
BC156060	100062307	without	229665	Ampd1	adenosine monophosphate deaminase 1
BC156943	100063640	with	229665	Ampd1	adenosine monophosphate deaminase 1
BC172711	100069519	with	432530	Adcy1	adenylate cyclase 1
BC156960	100063597	with	11512	Adcy6	adenylate cyclase 6
BC156810	100062571	with	11514	Adcy8	adenylate cyclase 8
BC166017	100066317	with	11515	Adcy9	adenylate cyclase 9
BC156236	100061628	without	320844	Amigo3	adhesion molecule with Ig like domain 3
BC157008	100062804	with	320844	Amigo3	adhesion molecule with Ig like domain 3
BC140255	100014214	without	384185	Arl9	ADP-ribosylation factor-like 9
BC141630	100014670	with	384185	Arl9	ADP-ribosylation factor-like 9
BC140404	100014487	without	11872	Art2b	ADP-ribosyltransferase 2b
BC148693	100015723	with	11872	Art2b	ADP-ribosyltransferase 2b
BC160266	100063914	with	109979	Art3	ADP-ribosyltransferase 3
BC148419	100015374	without	320129	Adrbk2	"adrenergic receptor kinase, beta 2"
BC152998	100016278	with	320129	Adrbk2	"adrenergic receptor kinase, beta 2"
BC167230	100068130	with	11550	Adra1d	"adrenergic receptor, alpha 1d"
BC156761	100062240	with	11552	Adra2b	"adrenergic receptor, alpha 2b"
BC172637	100069445	with	11553	Adra2c	"adrenergic receptor, alpha 2c"
BC166029	100066329	with	14266	Aff2	"AF4/FMR2 family, member 2"
BC165987	100066287	with	268782	Agxt2	alanine-glyoxylate aminotransferase 2
BC148646	100015560	without	11648	Akp3	"alkaline phosphatase 3, intestine, not Mn requiring"
BC166032	100066332	with	76768	Alpi	"alkaline phosphatase, intestinal"
BC146355	100015226	without	319660	Agmo	alkylglycerol monooxygenase
BC148840	100015860	with	319660	Agmo	alkylglycerol monooxygenase
BC140395	100014462	without	215493	A3galt2	"alpha 1,3-galactosyltransferase 2 (isoglobotriaosylceramide synthase)"
BC146478	100015040	with	215493	A3galt2	"alpha 1,3-galactosyltransferase 2 (isoglobotriaosylceramide synthase)"
BC156901	100062709	with	117586	A1bg	alpha-1-B glycoprotein
BC148439	100015436	without	56068	Ammecr1	"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1"
BC153030	100016345	with	56068	Ammecr1	"Alport syndrome, mental retardation, midface hypoplasia and elliptocytosis chromosomal region gene 1"
BC140300	100014328	without	58170	Accn5	"amiloride-sensitive cation channel 5, intestinal"
BC141472	100014719	without	109959	Amy2a5	amylase 2a5
BC148724	100015743	with	109959	Amy2a5	amylase 2a5
BC167247	100068147	with	77559	Agl	"amylo-1,6-glucosidase, 4-alpha-glucanotransferase"
BC165961	100066261	with	494519	Abpd	androgen binding protein delta
BC148496	100015504	without	11835	Ar	androgen receptor
BC153098	100016477	with	11835	Ar	androgen receptor
BC140357	100014395	without	11731	Ang2	"angiogenin, ribonuclease A family, member 2"
BC146501	100015045	with	11731	Ang2	"angiogenin, ribonuclease A family, member 2"
BC156689	100062121	with	75723	Amotl1	angiomotin-like 1
BC156111	100062397	without	11606	Agt	"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"
BC156904	100062769	with	11606	Agt	"angiotensinogen (serpin peptidase inhibitor, clade A, member 8)"
BC156902	100062721	with	142687	Asb14	ankyrin repeat and SOCS box-containing 14
BC167192	100068092	with	208372	Asb18	ankyrin repeat and SOCS box-containing 18
BC156142	100062438	without	76389	Ankrd36	ankyrin repeat domain 36
BC156981	100062846	with	76389	Ankrd36	ankyrin repeat domain 36
BC152843	100016073	without	382543	Ankfn1	ankyrin-repeat and fibronectin type III domain containing 1
BC167197	100068097	with	320091	Ano4	anoctamin 4
BC167250	100068150	with	11705	Amh	anti-Mullerian hormone
BC160359	100064103	with	71281	Apobec4	"apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 4 (putative)"
BC152864	100016040	without	66333	Aqp11	aquaporin 11
BC156614	100062037	with	66333	Aqp11	aquaporin 11
BC165994	100066294	with	11684	Alox12	arachidonate 12-lipoxygenase
BC156262	100061682	without	347722	Agap1	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
BC172673	100069481	with	347722	Agap1	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1"
BC156808	100062535	with	216439	Agap2	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
BC168408	100068377	with	213990	Agap3	"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3"
BC167217	100068117	with	68703	Rere	arginine glutamic acid dipeptide (RE) repeats
BC160258	100063906	with	26361	Avpr1b	arginine vasopressin receptor 1B
BC141537	100014559	without	11694	Alx3	aristaless-like homeobox 3
BC140274	100014252	without	11876	Artn	artemin
BC146573	100014871	with	11876	Artn	artemin
BC152973	100016223	without	11622	Ahr	aryl-hydrocarbon receptor
BC156629	100062087	with	11622	Ahr	aryl-hydrocarbon receptor
BC168412	100068381	with	11881	Arsb	arylsulfatase B
BC156127	100062424	without	12316	Aspm	"asp (abnormal spindle)-like, microcephaly associated (Drosophila)"
BC167179	100068079	with	65973	Asph	aspartate-beta-hydroxylase
BC156105	100062313	without	67855	Asprv1	"aspartic peptidase, retroviral-like 1"
BC160195	100063843	with	238247	Arid4a	AT rich interactive domain 4A (RBP1-like)
BC165988	100066288	with	71371	Arid5b	AT rich interactive domain 5B (MRF1-like)
BC148578	100015550	without	382423	Atxn7l3b	ataxin 7-like 3B
BC153152	100016463	with	382423	Atxn7l3b	ataxin 7-like 3B
BC160299	100064043	with	271813	Agbl2	ATP/GTP binding protein-like 2
BC160289	100064033	with	237877	Atad5	"ATPase family, AAA domain containing 5"
BC168384	100068353	with	54667	Atp8b2	"ATPase, class I, type 8B, member 2"
BC156090	100062323	without	11979	Atp7b	"ATPase, Cu++ transporting, beta polypeptide"
BC156956	100063608	with	11979	Atp7b	"ATPase, Cu++ transporting, beta polypeptide"
BC172713	100069521	with	11303	Abca1	"ATP-binding cassette, sub-family A (ABC1), member 1"
BC156245	100061656	without	11305	Abca2	"ATP-binding cassette, sub-family A (ABC1), member 2"
BC172668	100069476	with	217258	Abca8a	"ATP-binding cassette, sub-family A (ABC1), member 8a"
BC156052	100062306	without	27413	Abcb11	"ATP-binding cassette, sub-family B (MDR/TAP), member 11"
BC172671	100069479	with	27413	Abcb11	"ATP-binding cassette, sub-family B (MDR/TAP), member 11"
BC156363	100061888	without	213948	Atg9b	autophagy related 9B
BC156038	100062316	without	17132	Maf	avian musculoaponeurotic fibrosarcoma (v-maf) AS42 oncogene homolog
BC156806	100062511	with	12051	Bcl3	B cell leukemia/lymphoma 3
BC172625	100069433	without	79362	Bhlhe41	"basic helix-loop-helix family, member e41"
BC172727	100069535	with	79362	Bhlhe41	"basic helix-loop-helix family, member e41"
